predictions_0,predictions_1,predictions_2,predictions_3,predictions_4,pred_avg,pred_std,Final Material
774.53326,819.77673,808.3305,773.1072,730.70514,781.2906,31.253345,Original 1
909.2735,940.1138,908.39764,856.3694,817.65814,886.3625,43.633785,Variation 1A_EtOH no PVA
985.32916,942.3735,948.3948,985.17,914.5093,955.1553,27.101742,Original 2
832.3648,924.5536,831.5566,837.1131,824.8575,850.0892,37.436817,Variation 2A_EtOH no PC wash
796.90466,892.1919,801.73737,807.12604,802.3766,820.06726,36.207428,Variation 2B_no PC wash
996.19806,952.9725,955.9,987.6101,922.66956,963.07,26.401703,Variation 2C_EtOH w PC wash
807.31647,890.85535,830.72626,822.4144,830.3367,836.3299,28.550879,"Variation 2D_TEOS, EtOH, no PC wash"
764.2974,847.5495,796.39545,786.9128,809.3442,800.8999,27.579563,"Variation 2E_TEOS, no PC wash"
399.29517,270.04926,410.80707,379.0519,356.91888,363.22446,50.074116,Original 3 (TEOS:H2O:EtOH mol. Ratio 1:3:4)
429.35504,324.34058,419.01285,415.90268,382.32687,394.18762,38.32459,Variation 3A_TMOS
463.8611,396.153,483.62466,419.52908,405.89127,433.81183,34.0177,Variation 3B_H2SO4
425.25247,381.69678,447.694,475.96527,495.02734,445.12714,39.663643,Original 4 (vol. ratio H2O/EtOH= 0.8)
433.53998,374.48953,447.80383,468.10587,492.7123,443.33032,39.76764,Variation 4A_SC drying
